,회사명,채용공고 제목,링크
603,파더스랩,안드로이드 플랫폼 개발자 (5년이상),https://www.wanted.co.kr/wd/214382
604,팀프레시,[100억↑투자] 아키텍처팀 아키텍트 담당자,https://www.wanted.co.kr/wd/206172
605,카카오브레인,AI Research Engineer(칼로사업/이미지 및 비디오 생성),https://www.wanted.co.kr/wd/200649
606,오케스트로,Front-End Developer(Cloud Management Platform),https://www.wanted.co.kr/wd/139209
607,크리에이터노믹,백엔드 개발자 (3년 이상),https://www.wanted.co.kr/wd/206642
608,태그하이브(TagHive),인공지능개발연구원(팀리드),https://www.wanted.co.kr/wd/207097
609,나인하이어,"시니어 백엔드 엔지니어 (Node.js), 서울",https://www.wanted.co.kr/wd/201472
610,원프레딕트(onepredict),QA Engineer,https://www.wanted.co.kr/wd/213707
611,딥브레인에이아이,[400억↑투자] 정보보안 실무자,https://www.wanted.co.kr/wd/182874
612,더즌(dozn),개인정보보호 담당,https://www.wanted.co.kr/wd/179827
613,키즈노트,데이터 엔지니어,https://www.wanted.co.kr/wd/211784
614,데일리샷,백엔드 개발자(3년 이상),https://www.wanted.co.kr/wd/206447
615,카카오브레인,AI Research Scientist(칼로사업/이미지 및 비디오 생성),https://www.wanted.co.kr/wd/203810
616,이지스엔터프라이즈,개인정보보호 담당자 (3년 이상),https://www.wanted.co.kr/wd/208769
617,뉴스젤리(Newsjelly),웹 백엔드 개발자 (만 2년 이상),https://www.wanted.co.kr/wd/198548
618,마인드허브,React Native 프론트엔드 개발자,https://www.wanted.co.kr/wd/213458
619,바비톡,(영상/비전)AI 엔지니어(7년 이상),https://www.wanted.co.kr/wd/211887
620,엘케이알,시니어 웹 풀스택 개발자(PL급),https://www.wanted.co.kr/wd/202207
621,엔쓰리엔(N3N),"System Engineer (Linux, 임베디드)",https://www.wanted.co.kr/wd/212658
622,와들,머신러닝 엔지니어 (ML),https://www.wanted.co.kr/wd/187941
623,실크로드소프트,소프트웨어 기술지원 엔지니어(해외),https://www.wanted.co.kr/wd/207734
624,아이씨티케이,스마트 카드 개발자,https://www.wanted.co.kr/wd/207671
625,똑똑,프론트엔드 개발팀장(5년 이상),https://www.wanted.co.kr/wd/212904
626,카펜스트리트(에이콘3D),SW엔지니어/3D테크,https://www.wanted.co.kr/wd/207310
627,인티그리트,H/W 로봇 제작 & 테스트,https://www.wanted.co.kr/wd/208789
628,한국포인트거래소,Backend 개발자 (5년차+),https://www.wanted.co.kr/wd/109149
629,엘박스,[200억↑투자] MLOps Engineer,https://www.wanted.co.kr/wd/211043
630,클루닉스,프론트엔드 플랫폼 개발,https://www.wanted.co.kr/wd/213637
631,테크핀레이팅스,CB 상품 개발,https://www.wanted.co.kr/wd/208438
632,카카오헬스케어,헬스케어 RWE Specialist(임상통계 분석가),https://www.wanted.co.kr/wd/214886
633,그리드위즈,하드웨어 설계/검증 (E-Mobility본부),https://www.wanted.co.kr/wd/199608
634,뷰노,모바일앱 Hativ 개발팀장,https://www.wanted.co.kr/wd/192510
635,식스티헤르츠,Data Scientist,https://www.wanted.co.kr/wd/212373
636,에브리치,Window 개발,https://www.wanted.co.kr/wd/206941
637,유진로봇,"자율주행솔루션사업부 C,C++ 엔지니어",https://www.wanted.co.kr/wd/212899
638,에어프레미아랩스,Data Engineer,https://www.wanted.co.kr/wd/214167
639,오케스트로,"Cloud Architect (TA)(공공,국방,금융사업/HW)",https://www.wanted.co.kr/wd/214102
640,한화비전,VMS(영상관제) 개발자,https://www.wanted.co.kr/wd/205995
641,누리랩,응용개발자 및 악성코드 분석가,https://www.wanted.co.kr/wd/201697
642,나인하이어,"시니어 프론트엔드 엔지니어, 서울",https://www.wanted.co.kr/wd/201494
643,와디즈,인프라 보안 담당자,https://www.wanted.co.kr/wd/210355
644,토스씨엑스,Internal Network Engineer,https://www.wanted.co.kr/wd/212932
645,아이디에스앤트러스트,Salesforce Developer,https://www.wanted.co.kr/wd/213761
646,밸런스히어로 (트루밸런스),[1200억↑투자] Web Developer (Sr.),https://www.wanted.co.kr/wd/208761
647,플레이링스,서버개발자-병역특례 보충역,https://www.wanted.co.kr/wd/208290
648,쿠팡,"[Coupang Pay] Staff, Database Engineer",https://www.wanted.co.kr/wd/208235
649,슈프리마,공정 자동화 SW 개발자,https://www.wanted.co.kr/wd/211912
650,위시켓,클라우드 엔지니어(AWS Solutions Architect),https://www.wanted.co.kr/wd/211492
651,리디(RIDI),iOS 엔지니어,https://www.wanted.co.kr/wd/213343
652,오케스트로,Cloud Architect (Cloud Infra),https://www.wanted.co.kr/wd/183044
653,놀이의발견,[200억↑투자] Android 개발,https://www.wanted.co.kr/wd/214187
654,넥스트케이,AI 기반 응용프로그램 개발자(C#),https://www.wanted.co.kr/wd/212334
655,휴머스온,네트워크 엔지니어 (5년 이상),https://www.wanted.co.kr/wd/187065
656,클럼엘,[6년 이상] 시니어 Software Engineer (Frontend),https://www.wanted.co.kr/wd/212053
657,클루닉스,[서울] 리눅스 시스템 엔지니어,https://www.wanted.co.kr/wd/213636
658,한화비전,React Native APP Developer,https://www.wanted.co.kr/wd/211810
659,에이포엑스(A41),[100억↑투자] [Tech] Blockchain Engineer (Jr),https://www.wanted.co.kr/wd/214790
660,클로인트,블록체인 데이터 사이언티스트,https://www.wanted.co.kr/wd/174913
661,지엔터프라이즈,Security Engineer,https://www.wanted.co.kr/wd/209154
662,이파피루스,C++개발자,https://www.wanted.co.kr/wd/173191
663,웅진,JAVA기반 인사관리 솔루션 개발(9년 이상),https://www.wanted.co.kr/wd/195606
664,디셈버앤컴퍼니(핀트),[핀트] 플랫폼/백엔드 개발자 (7년 이상),https://www.wanted.co.kr/wd/194633
665,팀블랙버드(CryptoQuant),[100억↑투자] Web3 데이터 엔지니어,https://www.wanted.co.kr/wd/128026
666,에스에이치아이,스마트팩토리 MES 개발자,https://www.wanted.co.kr/wd/193203
667,파더스랩,안드로이드 앱개발 (3년이상),https://www.wanted.co.kr/wd/214384
668,파더스랩,"SW 개발자 (3년이상) (Linux Middleware, BSP)",https://www.wanted.co.kr/wd/214387
669,Electronic Arts Korea (EA Korea),Associate Technical Director,https://www.wanted.co.kr/wd/210978
670,휴톰,Medical Imaging AI Engineer(Senior),https://www.wanted.co.kr/wd/202877
671,올마이투어,프론트엔드 개발자,https://www.wanted.co.kr/wd/198389
672,테서,프론트엔드 개발자 [3년이상],https://www.wanted.co.kr/wd/44655
673,엔라이즈(NRISE),[100억↑투자] 데이터 엔지니어,https://www.wanted.co.kr/wd/202374
674,브레인커머스,[잡플래닛] Data Engineer,https://www.wanted.co.kr/wd/117898
675,네비웍스,Software Quality Assurance,https://www.wanted.co.kr/wd/209474
676,포티투닷(42dot),Frontend Engineer (차량 구독 서비스),https://www.wanted.co.kr/wd/188356
677,폴라리스쓰리디(Polaris3D),자율주행 임베디드 소프트웨어 개발자 (서울),https://www.wanted.co.kr/wd/207639
678,펑타이그레이터차이나(피티코리아),스크립터,https://www.wanted.co.kr/wd/174391
679,피어테크(지닥),개발 리드,https://www.wanted.co.kr/wd/212051
680,대상정보기술,SAP FI / TR 모듈 운영 및 개발,https://www.wanted.co.kr/wd/133636
681,비알랩,[100억↑투자] 백엔드 개발자,https://www.wanted.co.kr/wd/192839
682,포티투닷(42dot),Senior Frontend Engineer (Mobility Solutions),https://www.wanted.co.kr/wd/145198
683,웨이센(waycenInc.),Medical AI Research Engineer(Senior),https://www.wanted.co.kr/wd/108146
684,아이씨뱅큐(ICBANQ),RPA개발자,https://www.wanted.co.kr/wd/213684
685,웅진,"c#, vb.net 개발",https://www.wanted.co.kr/wd/152953
686,코닉오토메이션,Back-end 개발자,https://www.wanted.co.kr/wd/211867
687,딜라이트룸(Alarmy),데이터 엔지니어 (3년 이상),https://www.wanted.co.kr/wd/213938
688,크리에이트립,백엔드 파트 리더,https://www.wanted.co.kr/wd/154537
689,유진로봇,자율주행솔루션사업부 PM,https://www.wanted.co.kr/wd/212895
690,닥터나우,데이터 분석가,https://www.wanted.co.kr/wd/203918
691,단디코리아,ASP.NET MVC5,https://www.wanted.co.kr/wd/121463
692,레드브릭,[100억↑투자] [메이커스] Frontend Software Engineer (5년 이상),https://www.wanted.co.kr/wd/177124
693,바이온사이트,Tech Lead,https://www.wanted.co.kr/wd/205353
694,비씨랩스,Back-End Developer (4-10년),https://www.wanted.co.kr/wd/164911
695,쿠팡,Senior Back-end Engineer (SCM),https://www.wanted.co.kr/wd/130801
696,패스트뷰,[100억↑투자] 백엔드 개발자 (5년 이상),https://www.wanted.co.kr/wd/208191
697,인티그레이션(메디스트림),[300억↑투자] 정보 보안 담당자,https://www.wanted.co.kr/wd/203715
698,리사이클렛저,Product Owner JD,https://www.wanted.co.kr/wd/202529
699,클로봇,미들웨어 SW 개발자,https://www.wanted.co.kr/wd/203352
700,아이네블루메(채티),백엔드 엔지니어 (Python),https://www.wanted.co.kr/wd/60926
701,지냅스,[연구소/IVI] 리눅스 개발자 (Linux/QT) (신입),https://www.wanted.co.kr/wd/181469
702,에이디어스(ADUS),SW Engineer,https://www.wanted.co.kr/wd/212062
703,핀크(Finnq),시스템 담당자,https://www.wanted.co.kr/wd/214532
704,"브레이브모바일(숨고,Soomgo)",SRE(Site Reliability Engineer),https://www.wanted.co.kr/wd/161344
705,딜라이트룸(Alarmy),백엔드 개발자 (4년 이상),https://www.wanted.co.kr/wd/213941
706,테크빌교육,에듀테크 서비스 프론트엔드 개발자,https://www.wanted.co.kr/wd/208076
707,포티투닷(42dot),Generative NLP Engineer,https://www.wanted.co.kr/wd/209486
708,이큐브랩 (Ecube Labs),[100억↑투자] Sr. Front-end Engineer,https://www.wanted.co.kr/wd/115296
709,에바(Evar),전기차 충전용 Android Application 개발자,https://www.wanted.co.kr/wd/206142
710,모노리스,QA 엔지니어,https://www.wanted.co.kr/wd/19232
711,아이헤이트플라잉버그스,[600억↑투자] 머신러닝 엔지니어 / AI Researcher,https://www.wanted.co.kr/wd/211506
712,트루엔,Micom 펌웨어 개발자,https://www.wanted.co.kr/wd/211126
713,마키나락스,[전문연구요원] 머신러닝 엔지니어 (강화학습),https://www.wanted.co.kr/wd/117756
714,더쓰리룰스,블록체인 개발자,https://www.wanted.co.kr/wd/210791
715,아이엠에스커넥트,FMS(차량관제)플랫폼 프론트엔드 개발(웹/앱 UI) 4년 이상,https://www.wanted.co.kr/wd/156077
716,브이피,DBA(2년 이상),https://www.wanted.co.kr/wd/211103
717,한글과컴퓨터,인공지능 언어모델 개발,https://www.wanted.co.kr/wd/213337
718,빗썸코리아,[빗썸] TPM (Technical Program Manager) (5년 이상),https://www.wanted.co.kr/wd/181304
719,바이온사이트,CADD Specialist (전산화학),https://www.wanted.co.kr/wd/212808
720,닷슬래시대시,데이터 엔지니어,https://www.wanted.co.kr/wd/211177
721,모노리스,임베디드 어플리케이션 개발자,https://www.wanted.co.kr/wd/151961
722,아폴론,임베디드 시스템 개발자,https://www.wanted.co.kr/wd/202627
723,시릴리,프론트엔드 6년 이상,https://www.wanted.co.kr/wd/207174
724,이노그리드,[하이브리드 플랫폼팀] SW개발 (백앤드) / 수석,https://www.wanted.co.kr/wd/206584
725,포티투닷(42dot),Deep Learning (음성 솔루션 On-Device & Client SDK),https://www.wanted.co.kr/wd/214032
726,엘리스,백엔드 엔지니어 (Python),https://www.wanted.co.kr/wd/57878
727,넷마블,ERP(SAP FCM) 담당자,https://www.wanted.co.kr/wd/214457
728,페이워치코리아,[200억↑투자] IT 인프라 엔지니어,https://www.wanted.co.kr/wd/206797
729,멀티캠퍼스,Network Architect,https://www.wanted.co.kr/wd/208359
730,센트비(Sentbe),글로벌 금융 서비스 운영 담당자(Global Svc Ops),https://www.wanted.co.kr/wd/14134
731,앤서스랩코리아,[TechOps]Infra System Engineer,https://www.wanted.co.kr/wd/205834
732,이노그리드,[아키텍쳐팀] AA/SA / 부장,https://www.wanted.co.kr/wd/206633
733,잼팟,BI/DW 담당자,https://www.wanted.co.kr/wd/212579
734,중앙일보,데이터 개발,https://www.wanted.co.kr/wd/147952
735,넥서스에이아이,"Search/RAG, 데이터 수집가공, R&D 인프라 (LLM 기반 법률상담 챗봇)",https://www.wanted.co.kr/wd/213968
736,라이드플럭스,자율주행 DCU SW 개발 Engineer (서울),https://www.wanted.co.kr/wd/209112
737,케이에스티씨,모바일 앱 개발자,https://www.wanted.co.kr/wd/173557
738,케이티아이에스(KT is),광고플랫폼 서비스 개발/운영,https://www.wanted.co.kr/wd/213976
739,콘센트릭스서비스코리아CRM,MS O365 엔지니어(IT Helpdesk 1년 이상),https://www.wanted.co.kr/wd/210684
740,비밀리,AWS 운영 개발자,https://www.wanted.co.kr/wd/175975
741,대상정보기술,SAP MM 모듈 운영 및 개발,https://www.wanted.co.kr/wd/133845
742,우아한청년들,애널리틱스 엔지니어(3년~7년),https://www.wanted.co.kr/wd/207164
743,드리븐,커머스전자상거래 구글 애널리틱스 개발자 (3년 이상),https://www.wanted.co.kr/wd/208288
744,캐낸다,백엔드 개발자/머신러닝 엔지니어,https://www.wanted.co.kr/wd/212345
745,테크빌교육,사이버대학교 LMS 개발 및 유지보수 (jsp),https://www.wanted.co.kr/wd/208072
746,넥스트플레이어,Sr. 웹 개발자(Java Spring),https://www.wanted.co.kr/wd/211442
747,코인원(coinone),iOS 개발자(시니어),https://www.wanted.co.kr/wd/196916
748,알티엠,[개발팀] FullStack Engineer,https://www.wanted.co.kr/wd/203184
749,아하랩스,스마트팩토리 AI 솔루션 셋업 엔지니어링 및 개발,https://www.wanted.co.kr/wd/104029
750,파이온코퍼레이션,브이캣 딥러닝 엔지니어,https://www.wanted.co.kr/wd/111669
751,아파트너,시니어 백엔드 개발자,https://www.wanted.co.kr/wd/203640
752,아이엠에스이,임베디드 개발자,https://www.wanted.co.kr/wd/203997
753,세이브더칠드런코리아,IT팀 DW/BI 담당자,https://www.wanted.co.kr/wd/214838
754,하이퍼리즘,시스템 소프트웨어 엔지니어,https://www.wanted.co.kr/wd/212758
755,베스텔라랩,App(FrontEnd) 개발자(경기/대구)(병특가능),https://www.wanted.co.kr/wd/152649
756,애니펜,[100억↑투자] 프롬프트 엔지니어,https://www.wanted.co.kr/wd/208244
757,에니아이(Aniai),Backend Engineer (전문연구요원 가능),https://www.wanted.co.kr/wd/180619
758,딥인사이트,AI 개발자,https://www.wanted.co.kr/wd/206846
759,이글루코퍼레이션,인공지능/머신러닝 솔루션 엔진 개발 (5년이상),https://www.wanted.co.kr/wd/203157
760,앤서스랩코리아,[DX]Data Warehouse Engineer,https://www.wanted.co.kr/wd/214493
761,알테어엔지니어링,"PollEx Product Manger UI, UX",https://www.wanted.co.kr/wd/207095
762,제이더블유홀딩스,IT기획(신입) 담당자,https://www.wanted.co.kr/wd/214352
763,오엠티아이코리아,시스템엔지니어 (2~7년),https://www.wanted.co.kr/wd/214660
764,메이븐클라우드서비스,데이터 엔지니어,https://www.wanted.co.kr/wd/210990
765,플라네타리움랩스코리아,[400억↑투자] 블록체인(EVM) 엔지니어(5년 이상),https://www.wanted.co.kr/wd/199628
766,체인앱시스,Backend Engineer,https://www.wanted.co.kr/wd/169095
767,포티투닷(42dot),Android Application Engineer (Mobility App),https://www.wanted.co.kr/wd/203547
768,굳갱랩스,유니티 개발자,https://www.wanted.co.kr/wd/161240
769,비트나인,DBMS 기술지원 담당자,https://www.wanted.co.kr/wd/151239
770,하이얼코리아알앤디(GE Appliances),가전 임베디드 소프트웨어 개발자,https://www.wanted.co.kr/wd/161794
771,미소(miso),Engineering Manager / 개발 매니저,https://www.wanted.co.kr/wd/196174
772,블록에스,백엔드 개발자,https://www.wanted.co.kr/wd/209669
773,도르코퍼레이션,소프트웨어 엔지니어 Desktop App,https://www.wanted.co.kr/wd/204942
774,뉴버드,PHP 개발자,https://www.wanted.co.kr/wd/168396
775,모빅랩,Senior Linux 개발자,https://www.wanted.co.kr/wd/203179
776,비케이브,"IT 시스템 관리(ERP, WMS) 담당자",https://www.wanted.co.kr/wd/210442
777,엠아이티,SW/솔루션 개발자,https://www.wanted.co.kr/wd/205526
778,이브로드캐스팅,Server Engineer,https://www.wanted.co.kr/wd/209530
779,투비콘,"웹 개발자(ASP.NET, C#)",https://www.wanted.co.kr/wd/175818
780,엣지크로스,시니어 머신러닝 엔지니어,https://www.wanted.co.kr/wd/207670
781,포티투닷(42dot),Blockchain Engineer,https://www.wanted.co.kr/wd/148482
782,뉴블라,SDK Compiler Engineer,https://www.wanted.co.kr/wd/212868
783,바이브온코퍼레이션,데이터 엔지니어 (2년 이상),https://www.wanted.co.kr/wd/203473
784,블렌딩(Vlending),음악유통정산 시스템 백엔드 개발,https://www.wanted.co.kr/wd/207437
785,이노그리드,[퍼블릭 사업부 매니지드서비스팀] MSP(팀장) / 부장,https://www.wanted.co.kr/wd/206623
786,넥슨코리아(NEXON),[인텔리전스랩스] 플랫폼 SDK 개발자 (Windows),https://www.wanted.co.kr/wd/207934
787,알로카도스,블록체인 엔지니어,https://www.wanted.co.kr/wd/97403
788,페어스퀘어랩,[100억↑투자] 블록체인 스마트컨트랙트 개발자 - 주니어,https://www.wanted.co.kr/wd/211567
789,엑소시스템즈,SW 개발자 (병역특례 가능),https://www.wanted.co.kr/wd/4800
790,온택트헬스,백엔드 개발자,https://www.wanted.co.kr/wd/204403
791,바텍이우홀딩스,[바텍 네트웍스] 의료기기 F/W 개발자,https://www.wanted.co.kr/wd/190284
792,유진로봇,청소로봇개발사업부 HW 엔지니어,https://www.wanted.co.kr/wd/211341
793,원티드랩,AX테크리드 (AI기술전략),https://www.wanted.co.kr/wd/209074
794,페르미,프론트엔드 개발자 (팀장급),https://www.wanted.co.kr/wd/208773
795,덴컴,AI Research Leader,https://www.wanted.co.kr/wd/212275
796,하이퍼놀로지,ROS 기반 엔지니어,https://www.wanted.co.kr/wd/201846
797,대상정보기술,SAP PP 모듈 운영 및 개발,https://www.wanted.co.kr/wd/133846
798,액션파워,Back-end Engineer  (5년 이상),https://www.wanted.co.kr/wd/44155
799,마키나락스,백엔드 엔지니어 (Runway 개발),https://www.wanted.co.kr/wd/89905
800,럭스소프트코리아,Senior Devops Engineer (Groovy),https://www.wanted.co.kr/wd/202314
801,아이지에이웍스(IGAWorks),[500억↑투자] 클라우드 엔지니어,https://www.wanted.co.kr/wd/206038
802,쏘카(SOCAR),Applied Research Scientist,https://www.wanted.co.kr/wd/190980
803,브레이브컴퍼니,Backend Developer (5년차 이상),https://www.wanted.co.kr/wd/193465
804,베스텔라랩,개발팀장,https://www.wanted.co.kr/wd/174090
805,트루테크놀로지스,IT Operation 운영/지원 매니저(L1),https://www.wanted.co.kr/wd/207074
806,에이스웍스코리아,LabVIEW 프로그램 개발자 (신입),https://www.wanted.co.kr/wd/205445
807,더페이,DevOps 엔지니어 (5년 이상),https://www.wanted.co.kr/wd/212700
808,GS차지비,서버 개발자(충전 프로토콜 서버 개발),https://www.wanted.co.kr/wd/207093
809,썬더소프트코리아,Java application 개발자 (10년 이상),https://www.wanted.co.kr/wd/213593
810,리디(RIDI),백엔드 소프트웨어 엔지니어,https://www.wanted.co.kr/wd/213336
811,에이클시스템,AI 딥러닝 개발자,https://www.wanted.co.kr/wd/211366
812,에이엠시지(AMCGCo.Ltd.),심자도시스템 SW개발(프론트엔드),https://www.wanted.co.kr/wd/203596
813,하이스트레인저,크로스플랫폼(flutter)/ 시니어 프론트엔드 엔지니어,https://www.wanted.co.kr/wd/202720
814,앤서스랩코리아,[Platform]Frontend Engineer,https://www.wanted.co.kr/wd/181748
815,에스투더블유(S2W),Security Researcher - Malware Analysis,https://www.wanted.co.kr/wd/171227
816,플래티어,[그루비 SaaS 솔루션] SQA,https://www.wanted.co.kr/wd/197715
817,드리븐,마케팅 솔루션 플랫폼 프로젝트 리더(node.js / 6년이상),https://www.wanted.co.kr/wd/183659
818,버킷플레이스(오늘의집),"Software Engineer, Frontend, Extended Reality",https://www.wanted.co.kr/wd/213550
819,에스알,하드웨어 개발 연구원 H/W (1년 이상),https://www.wanted.co.kr/wd/208316
820,엘리스,[신입] 정보보안 엔지니어,https://www.wanted.co.kr/wd/208428
821,어바웃펫,서버 담당자(인프라 및 보안 담당자),https://www.wanted.co.kr/wd/210738
822,포디리플레이코리아,Windows Application Development(5년 이상),https://www.wanted.co.kr/wd/204547
823,빅파이씨앤티,[무역솔루션] 개발 기획자,https://www.wanted.co.kr/wd/211808
824,토스씨엑스,DBA,https://www.wanted.co.kr/wd/212931
825,로플리,모바일 개발 리드,https://www.wanted.co.kr/wd/190232
826,이수시스템,시스템 아키텍처,https://www.wanted.co.kr/wd/211692
827,네비웍스,윈도우 응용 프로그래머 (C++),https://www.wanted.co.kr/wd/159073
828,큐피스트(글램),모바일 앱 개발자 (React Native),https://www.wanted.co.kr/wd/117044
829,그리드위즈,소프트웨어 스택 개발 (E-Mobility본부),https://www.wanted.co.kr/wd/199609
830,덴컴,인프라 및 보안 담당자,https://www.wanted.co.kr/wd/212283
831,알피니언메디칼시스템,HW개발팀 디지털설계,https://www.wanted.co.kr/wd/208088
832,하이퍼엑셀,서버 인프라 관리자,https://www.wanted.co.kr/wd/211565
833,코빗(Korbit),블록체인 가상자산 지갑 개발자,https://www.wanted.co.kr/wd/210907
834,에이트테크,Software Engineer,https://www.wanted.co.kr/wd/209393
835,마키나락스,머신러닝 엔지니어 (Battery PJT),https://www.wanted.co.kr/wd/207325
836,브레인즈컴퍼니,통합로그관리 SW 기술지원 엔지니어(5-10년),https://www.wanted.co.kr/wd/214451
837,브이디크럭스,JAVA 백엔드 개발자(7년-10년),https://www.wanted.co.kr/wd/204999
838,펑타이그레이터차이나(피티코리아),데이터 분석,https://www.wanted.co.kr/wd/176329
839,실크로드소프트,소프트웨어 기술지원 엔지니어(국내),https://www.wanted.co.kr/wd/207652
840,골프존,클라이언트 개발 (엔진-그래픽스),https://www.wanted.co.kr/wd/177145
841,아이스크림에듀,시스템 엔지니어(SE),https://www.wanted.co.kr/wd/187321
842,더블유컨셉코리아(W컨셉),TECH담당 프론트엔드개발팀 백엔드개발자 (4년 이상),https://www.wanted.co.kr/wd/200555
843,이글루코퍼레이션,해외 기술 지원,https://www.wanted.co.kr/wd/205835
844,오케스트로,Cloud Infra Operation,https://www.wanted.co.kr/wd/183055
845,쏘카(SOCAR),AI Lead,https://www.wanted.co.kr/wd/191126
846,알티올,물류자동화 설비 시스템 CS(유지보수),https://www.wanted.co.kr/wd/214217
847,이롬넷,PayVerse 인프라팀 서버 엔지니어 담당자,https://www.wanted.co.kr/wd/199235
848,포티투닷(42dot),Firmware Engineer,https://www.wanted.co.kr/wd/147774
849,인딥에이아이,Back-end Engineer,https://www.wanted.co.kr/wd/208249
850,챌린저스게임즈,[Second Wave] DevOps,https://www.wanted.co.kr/wd/145806
851,엠투클라우드,R&D팀 펌웨어 개발자,https://www.wanted.co.kr/wd/167171
852,슈어소프트테크,"[차량솔루션2팀] 웹 개발자 (중,고급) / 백엔드 개발",https://www.wanted.co.kr/wd/198894
853,셰어라운드,데이터 엔지니어,https://www.wanted.co.kr/wd/161537
854,큐픽스,QA 엔지니어 (1년 이상),https://www.wanted.co.kr/wd/209209
855,비바이노베이션,개발팀_서버파트 부문,https://www.wanted.co.kr/wd/214176
856,슬링,머신러닝 엔지니어,https://www.wanted.co.kr/wd/185040
857,씨디네트웍스,Cloud Service Manager,https://www.wanted.co.kr/wd/211166
858,에이스웍스코리아,Control Engineer,https://www.wanted.co.kr/wd/205470
859,대상정보기술,SAP SRM(DECO) 시스템 운영 및 개발,https://www.wanted.co.kr/wd/133847
860,포티투닷(42dot),LLM inference optimization engineer,https://www.wanted.co.kr/wd/209485
861,패스트뷰,[100억↑투자] DevOps Engineer (3년 이상),https://www.wanted.co.kr/wd/208189
862,하이퍼엑셀,AI 반도체 S/W Backend Engineer,https://www.wanted.co.kr/wd/210928
863,바텍이우홀딩스,[바텍 네트웍스] 정보전략팀장,https://www.wanted.co.kr/wd/186039
864,디앤에스에버(DNS Ever),데이터 엔지니어 (3년 이상),https://www.wanted.co.kr/wd/214428
865,아우름플래닛(Liner),[100억↑투자] React Native Developer,https://www.wanted.co.kr/wd/203589
866,클로인트,온체인 데이터 조사역,https://www.wanted.co.kr/wd/193318
867,마이플레이컴퍼니,개발팀 리더,https://www.wanted.co.kr/wd/171848
868,이스트소프트(ESTsoft),[ESTsoft] C++/Windows Application 개발자,https://www.wanted.co.kr/wd/111936
869,핀다(FINDA),백엔드 개발자 (시니어),https://www.wanted.co.kr/wd/181781
870,바이브컴퍼니,웹 개발자,https://www.wanted.co.kr/wd/213134
871,비트센싱,[100억↑투자] [R&D] Radar System Test Engineer,https://www.wanted.co.kr/wd/209215
872,이지케어텍,모바일 솔루션 개발자 (5년 이상),https://www.wanted.co.kr/wd/197747
873,씨제이올리브네트웍스(CJ올리브네트웍스),MSA 기반 Application Architect,https://www.wanted.co.kr/wd/205128
874,데이블(Dable),Senior Machine Learning Engineer (4년 이상),https://www.wanted.co.kr/wd/206721
875,빗썸코리아,[빗썸] 클라우드 보안담당자,https://www.wanted.co.kr/wd/196798
876,유에이치씨,Django 백엔드 개발자,https://www.wanted.co.kr/wd/204195
877,니어브레인,의료영상 관련 인공지능 모듈 개발,https://www.wanted.co.kr/wd/195603
878,해줌,[100억↑투자] 데이터사이언티스트,https://www.wanted.co.kr/wd/147049
879,베링랩,리드 NLP 개발자,https://www.wanted.co.kr/wd/157380
880,엠로(emro),글로벌플랫폼 EPI/ESI 모듈 리더,https://www.wanted.co.kr/wd/201486
881,매쓰홀릭,병역특례 풀스택 개발자 전문연구요원,https://www.wanted.co.kr/wd/208301
882,이지식스(엠블),[Blockchain] Smart Contract Engineer,https://www.wanted.co.kr/wd/208539
883,포티투닷(42dot),Senior Backend Engineer (운송 경매 플랫폼),https://www.wanted.co.kr/wd/192773
884,앤서스랩코리아,[Slot]슬롯QA,https://www.wanted.co.kr/wd/201367
885,타이로스코프,[울산 근무] 프론트엔드 엔지니어(React Native),https://www.wanted.co.kr/wd/166293
886,디윅스,백엔드 개발자(3년 이상),https://www.wanted.co.kr/wd/200232
887,파더스랩,개발 PM (5년 이상),https://www.wanted.co.kr/wd/214385
888,강남언니(힐링페이퍼),데이터 사이언티스트 (시니어),https://www.wanted.co.kr/wd/206697
889,에이스웍스코리아,Platform Software Engineer,https://www.wanted.co.kr/wd/190899
890,파인더스에이아이,Computer Vision AI Engineer_senior,https://www.wanted.co.kr/wd/204090
891,크리모,RF 및 디지털 Firmware 개발자,https://www.wanted.co.kr/wd/208609
892,크립토랩,backend engineer (5년 이상),https://www.wanted.co.kr/wd/209363
893,옴니어스(OMNIOUS),프론트엔드 엔지니어(3~7년),https://www.wanted.co.kr/wd/190227
894,씨제이올리브네트웍스(CJ올리브네트웍스),프로젝트 DBA,https://www.wanted.co.kr/wd/213965
895,드림인사이트,서비스 기획자 (3년 이상),https://www.wanted.co.kr/wd/214236
896,프로티나,IT 정보보안 담당자,https://www.wanted.co.kr/wd/213810
897,알지티,자율주행 F/W엔지니어,https://www.wanted.co.kr/wd/212443
898,이수시스템,시스템 아키텍처,https://www.wanted.co.kr/wd/211690
899,팀윙크,데이터 엔지니어,https://www.wanted.co.kr/wd/207450
900,알피니언메디칼시스템,HW개발팀 아날로그 및 Power 설계,https://www.wanted.co.kr/wd/208087
901,한국해양기상기술,백엔드 팀 리드,https://www.wanted.co.kr/wd/125378
902,루닛(Lunit),Technical Product Manager · Lunit INSIGHT,https://www.wanted.co.kr/wd/205422
903,파이프트리스마트팜(PAIPTREESmartFarmInc.),프론트엔드 개발자(5년 이상),https://www.wanted.co.kr/wd/205939
904,오지큐(OGQ),STO 프론트엔드 개발자,https://www.wanted.co.kr/wd/205368
905,브라운백,S/W 개발 리드,https://www.wanted.co.kr/wd/204235
